ident,type,name,iso_country,iata_code
US-0966,small_airport,Mosquito Strip Airport,US,
US-0967,small_airport,W E Ranch Airport,US,
US-0968,small_airport,Merrill Ranch Ultralight Flightpark,US,
US-0969,heliport,SSJ Heliport,US,
US-0970,small_airport,Flying J Airport,US,
US-0971,small_airport,3 Mill Ranch Airport,US,
US-0972,heliport,STS VIP Heliport,US,
US-0973,small_airport,Arrington Ranch Airport,US,
US-0974,small_airport,Bemaroy Airport,US,
US-0975,heliport,Hill Country Memorial Hospital Heliport,US,
US-0976,heliport,Texas Children's Hospital The Woodlands Heliport,US,
US-0977,small_airport,Cole Ranch Airport,US,
US-0979,heliport,ORMC Helistop,US,
US-0980,heliport,Okemah Muscogee (Creek) Nation Community Hospital Heliport,US,
US-0981,small_airport,Green Acres Airfield,US,
US-0982,heliport,Centracare Health Heliport,US,
US-0983,heliport,LOMO 4 Heliport,US,
US-0984,seaplane_base,McKeen Seaplane Base,US,
US-0986,small_airport,Dead Cow Lakebed Airstrip,US,
US-0987,heliport,Richfield Station Heliport,US,
US-0988,heliport,VRS Heliport,US,
US-0989,heliport,Wang Heliport,US,
US-0990,heliport,Donagher Residence Heliport,US,
US-0991,heliport,AdventHealth Waterman Heliport,US,
US-0992,small_airport,Comanche Hills Ranch Airport,US,
US-0993,small_airport,Sherman Farm Air Airport,US,
US-0994,heliport,LQLZ Heliport,US,
US-0995,heliport,Carova Beach Volunteer Fire and Rescue Heliport,US,
US-0996,small_airport,J A Knolle Airport,US,
US-0997,small_airport,Underline OK Airport,US,
US-0998,small_airport,Blue Ridge Airport,US,
